country,iso_code,year,population,gdp,co2,co2_per_capita,co2_per_gdp,cement_co2,coal_co2,gas_co2,oil_co2,co2_growth_prct,co2_per_unit_energy,eps_score,pressure_level
Togo,TGO,2023,9304344.0,,2.62,0.282,,0.92,,0.228,1.472,-2.323,,,
Tonga,TON,2023,104614.0,,0.199,1.905,,0.0,,,0.199,2.174,,,
Trinidad and Tobago,TTO,2023,1502936.0,,34.318,22.834,,0.282,,30.399,3.365,-5.476,0.209,,
Tunisia,TUN,2023,12200434.0,,32.793,2.688,,4.245,,13.823,14.377,2.646,,,
Turkey,TUR,2023,87270503.0,,432.077,4.951,,38.27,157.878,97.466,131.864,-1.196,0.222,,
Turkmenistan,TKM,2023,7364437.0,,63.363,8.604,,0.801,0.0,41.842,18.508,-1.234,0.142,,
Turks and Caicos Islands,TCA,2023,46219.0,,0.371,8.018,,0.0,,,0.371,4.322,,,
Tuvalu,TUV,2023,9837.0,,0.012,1.169,,0.0,,,0.012,2.177,,,
Uganda,UGA,2023,48656604.0,,5.614,0.115,,0.628,0.0,,4.986,-0.431,,,
Ukraine,UKR,2023,37732832.0,,136.461,3.616,,4.339,53.043,41.139,32.81,-3.306,0.221,,
United Arab Emirates,ARE,2023,10642089.0,,229.384,21.554,,5.239,9.257,127.187,85.996,1.507,0.161,,
United Kingdom,GBR,2023,68682965.0,,305.146,4.443,,3.616,17.556,123.221,154.927,-2.768,0.158,3.6,High
United States,USA,2023,343477332.0,,4911.391,14.299,,39.714,776.767,1755.923,2250.856,-3.298,0.188,2.2,Medium
Uruguay,URY,2023,3388083.0,,7.866,2.322,,0.355,0.0,0.166,7.345,0.59,,,
Uzbekistan,UZB,2023,35652309.0,,124.768,3.5,,6.157,15.054,92.339,10.475,-0.216,0.213,,
Vanuatu,VUT,2023,320422.0,,0.226,0.706,,0.0,,,0.226,2.174,,,
Venezuela,VEN,2023,28300860.0,,99.569,3.518,,0.986,0.673,30.257,52.036,13.774,0.142,,
Vietnam,VNM,2023,100352189.0,,334.726,3.336,,51.314,192.077,14.475,75.601,12.462,0.246,,
Wallis and Futuna,WLF,2023,11394.0,,0.031,2.691,,0.0,,,0.031,2.172,,,
Yemen,YEM,2023,39390800.0,,10.035,0.255,,0.629,0.67,0.398,7.498,-2.537,,,
Zambia,ZMB,2023,20723968.0,,7.749,0.374,,1.059,2.388,,4.303,3.02,,,
Zimbabwe,ZWE,2023,16340829.0,,11.164,0.683,,0.531,7.271,,3.362,7.09,,,
