ISO,Country,Data source,Sector,Gas,Unit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
SRB,Serbia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,62.59,61.0,63.02,61.87,61.73,63.42,63.03,58.81,52.48,60.36,59.66,64.48,27.41,27.89,30.6,32.53,33.57,31.36,39.07,33.76,30.71,27.35,57.71,55.7,73.19,73.44,68.53,60.9,54.36,58.06,63.86,69.09,79.56
UGA,Uganda,Climate Watch,Total including LUCF,All GHG,MtCO₂e,61.17,61.39,59.48,58.27,58.83,57.47,57.19,55.67,53.86,52.58,52.34,50.5,50.02,48.35,47.89,41.41,38.64,39.94,37.88,37.8,36.01,35.17,35.6,35.78,35.94,34.49,33.07,32.17,31.46,31.73,31.33,30.99,30.45
CIV,Côte d'Ivoire,Climate Watch,Total including LUCF,All GHG,MtCO₂e,60.58,58.79,53.95,53.2,51.92,52.4,51.66,50.34,50.17,50.19,48.79,47.06,47.11,47.2,48.68,49.19,49.71,50.65,49.29,50.38,53.09,53.02,87.41,87.37,85.2,84.43,82.67,81.63,80.71,77.85,75.14,72.47,69.73
FIN,Finland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,59.63,62.03,61.96,66.91,69.82,68.4,70.98,6.94,10.43,14.44,13.69,19.28,66.76,58.6,62.02,70.22,72.19,60.54,72.83,76.6,68.28,65.89,44.7,45.78,46.25,49.81,51.69,45.22,49.17,42.53,41.29,44.39,44.5
BWA,Botswana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,59.57,62.72,53.96,52.19,54.98,56.47,52.51,53.71,54.22,55.53,55.03,69.77,63.87,51.92,61.97,52.58,54.11,52.17,50.61,50.16,58.26,57.9,55.09,55.44,55.44,55.74,56.18,55.31,54.42,54.18,54.52,54.26,54.83
BFA,Burkina Faso,Climate Watch,Total including LUCF,All GHG,MtCO₂e,59.22,59.11,53.42,57.23,56.29,55.33,54.3,34.43,33.14,32.64,31.84,31.14,41.18,39.53,38.84,37.93,37.24,37.25,36.59,35.92,32.52,31.79,29.92,28.57,28.68,27.83,27.26,26.11,25.72,25.27,25.02,24.73,24.29
HUN,Hungary,Climate Watch,Total including LUCF,All GHG,MtCO₂e,58.65,62.56,61.34,63.11,63.29,63.52,61.49,60.18,57.25,56.96,59.32,63.19,64.87,64.91,70.75,72.13,74.3,75.02,75.71,76.88,74.14,75.78,72.88,75.86,75.07,75.15,76.84,74.62,76.31,76.59,76.12,86.01,91.05
SYR,Syria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,57.99,59.14,58.36,57.69,55.72,53.31,47.92,50.31,54.56,60.04,96.88,144.78,154.24,155.52,161.04,160.42,159.94,161.09,155.26,182.46,186.14,176.58,170.79,173.97,174.02,170.25,171.48,172.75,165.23,161.23,151.7,137.67,118.16
CAF,Central African Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,57.56,56.29,55.56,55.21,57.39,56.49,62.27,52.88,52.07,55.62,57.78,61.69,58.04,48.82,61.36,63.19,59.32,62.11,53.8,64.46,49.07,54.7,44.22,43.0,46.74,41.53,38.24,51.97,51.84,49.34,49.29,49.24,48.93
AZE,Azerbaijan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,56.91,54.46,52.1,54.05,52.19,50.83,51.56,50.23,50.42,49.32,48.09,45.13,43.88,45.01,48.99,44.43,44.94,42.21,38.86,38.81,36.1,36.03,36.93,35.14,34.8,34.15,34.58,40.0,40.89,62.0,84.19,75.42,78.12
BHR,Bahrain,Climate Watch,Total including LUCF,All GHG,MtCO₂e,56.76,54.72,53.79,53.6,50.27,49.56,48.67,48.09,47.35,45.32,42.54,40.96,40.25,38.29,37.56,35.14,33.98,31.55,28.35,28.19,27.16,25.97,25.17,24.07,23.51,21.79,20.82,19.58,18.85,18.46,17.52,15.36,15.68
PNG,Papua New Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,54.53,54.33,54.04,53.04,52.96,51.89,51.82,52.18,49.42,47.8,46.61,45.93,37.87,37.87,37.68,38.12,38.18,38.17,39.64,38.49,38.53,37.79,38.03,37.0,36.17,49.87,35.38,35.84,32.79,31.91,30.84,29.8,28.79
PRT,Portugal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,54.14,53.82,56.02,61.95,66.97,71.81,66.8,66.71,62.59,63.03,64.7,66.4,68.72,74.09,74.86,77.11,78.52,83.89,80.46,78.98,83.25,78.61,80.19,80.66,73.96,68.76,66.45,68.07,64.3,62.39,63.48,59.43,57.71
NPL,Nepal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,53.44,57.01,55.21,52.88,52.99,50.67,50.53,43.28,44.37,43.23,41.49,41.62,33.47,31.84,30.13,28.91,28.07,28.79,27.94,27.93,26.44,27.24,29.31,28.96,27.61,26.81,26.29,26.28,25.46,24.02,23.95,23.15,23.27
NER,Niger,Climate Watch,Total including LUCF,All GHG,MtCO₂e,52.67,50.22,47.78,45.64,43.65,41.69,40.23,38.5,37.26,35.51,33.38,31.22,30.35,30.21,28.85,27.6,26.36,25.4,24.48,23.59,22.67,21.87,25.56,25.55,24.93,23.97,23.05,22.24,21.63,21.1,20.42,19.9,19.41
CHL,Chile,Climate Watch,Total including LUCF,All GHG,MtCO₂e,51.89,50.49,49.26,56.06,49.89,51.3,48.93,21.54,15.48,22.9,19.7,17.25,55.56,50.32,52.6,48.32,40.55,39.53,38.92,33.73,32.78,32.36,53.31,57.31,54.42,53.4,46.22,39.8,36.1,32.03,29.33,27.74,28.87
MLI,Mali,Climate Watch,Total including LUCF,All GHG,MtCO₂e,47.22,48.2,46.81,44.53,42.46,41.01,39.95,35.57,34.15,33.21,32.11,31.26,30.35,28.52,28.18,26.8,25.78,25.46,24.61,22.3,21.69,21.34,24.16,24.86,23.8,19.59,18.76,18.33,17.95,17.67,17.43,17.35,17.41
SLB,Solomon Islands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,46.35,46.34,46.32,46.3,46.28,46.24,46.21,-17.04,-17.02,-16.99,-17.04,-17.06,2.43,2.41,2.39,2.37,2.35,2.33,2.31,2.28,2.27,2.25,4.45,4.43,4.42,4.4,4.39,4.37,4.36,4.34,4.32,4.31,4.29
DOM,Dominican Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,45.24,42.59,39.6,40.96,38.08,35.58,36.31,35.46,33.04,32.7,32.95,32.16,31.02,29.66,30.18,30.04,28.85,26.92,25.59,26.31,28.65,26.23,20.14,19.43,18.83,16.81,15.13,14.23,13.73,11.76,11.27,9.81,8.71
LAO,Laos,Climate Watch,Total including LUCF,All GHG,MtCO₂e,45.12,45.24,44.55,41.52,40.62,40.32,39.15,30.65,25.94,25.69,24.6,22.48,30.17,26.02,24.64,29.8,23.99,25.2,28.15,23.3,22.7,21.43,20.89,20.46,21.78,20.06,20.39,20.43,20.37,20.01,20.0,19.69,19.76
MDG,Madagascar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,43.22,42.45,41.79,42.18,40.56,42.12,42.57,40.46,39.55,39.02,39.68,39.11,51.01,50.31,49.14,50.48,49.04,50.56,46.19,47.36,44.71,47.3,54.92,56.2,56.52,55.31,55.91,55.3,54.64,55.01,54.61,54.33,54.28
SOM,Somalia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,43.21,43.29,43.45,43.31,43.25,43.08,43.14,43.11,43.05,42.91,42.8,42.5,42.35,42.14,42.11,42.09,43.19,44.46,44.02,43.72,43.49,43.1,42.56,42.38,42.31,42.47,42.08,41.63,40.97,39.03,37.05,39.01,41.94
GTM,Guatemala,Climate Watch,Total including LUCF,All GHG,MtCO₂e,42.7,43.77,41.01,42.26,40.97,39.09,39.55,42.27,39.15,38.13,36.75,36.02,41.38,41.61,39.74,41.1,39.19,40.27,37.57,39.11,36.8,35.04,38.41,36.14,37.19,33.53,33.24,32.96,31.9,31.73,31.12,29.88,29.52
GIN,Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,42.58,40.65,41.09,39.73,37.93,38.08,37.64,33.97,33.3,32.89,32.75,31.43,30.1,27.82,27.4,26.71,26.37,25.99,24.54,24.58,24.24,23.13,22.21,21.77,22.2,20.74,20.3,20.78,20.37,19.96,19.6,19.27,18.95
DNK,Denmark,Climate Watch,Total including LUCF,All GHG,MtCO₂e,42.51,44.29,42.91,45.2,48.79,49.24,51.54,47.04,49.06,53.23,51.73,56.78,64.05,63.77,66.58,70.14,74.89,67.16,70.88,77.16,71.62,72.33,70.96,74.82,77.7,81.71,91.51,78.08,81.2,77.56,74.96,81.14,70.32
CHE,Switzerland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,40.67,44.05,42.33,44.76,44.98,46.22,47.2,46.72,47.5,51.3,50.27,48.97,52.94,51.33,52.78,51.16,53.09,53.37,52.65,52.17,50.95,52.62,51.87,52.62,52.49,50.93,52.39,51.77,50.85,51.74,54.11,54.18,51.95
NIC,Nicaragua,Climate Watch,Total including LUCF,All GHG,MtCO₂e,39.62,39.35,38.96,38.97,38.51,38.65,38.76,29.86,28.94,27.99,27.71,27.35,38.88,38.47,38.42,38.53,38.36,38.21,37.65,38.21,37.07,36.62,32.5,31.94,31.38,30.42,29.58,29.58,30.2,29.88,29.21,28.3,29.66
SEN,Senegal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,39.49,37.72,35.44,34.42,33.35,32.83,32.56,30.32,29.63,28.91,27.75,28.17,29.06,28.04,27.31,26.34,26.2,25.63,24.93,22.89,23.59,23.91,25.05,25.07,22.87,21.67,21.17,19.62,19.34,19.01,18.76,18.32,18.02
TUN,Tunisia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,39.33,40.22,38.28,38.68,39.13,38.8,38.24,46.84,46.93,45.33,44.69,42.33,38.4,36.28,35.89,35.6,33.8,32.68,32.0,30.49,30.5,30.42,29.98,28.79,27.71,26.35,25.84,24.23,24.0,24.45,24.19,22.9,22.21
LKA,Sri Lanka,Climate Watch,Total including LUCF,All GHG,MtCO₂e,36.49,38.64,38.59,38.82,36.26,36.88,37.86,33.11,30.82,28.2,31.15,29.36,29.0,27.69,28.45,28.16,27.23,28.78,26.8,26.67,25.45,24.68,27.05,27.83,28.45,30.97,32.93,32.99,32.94,32.18,31.87,30.1,30.25
URY,Uruguay,Climate Watch,Total including LUCF,All GHG,MtCO₂e,36.28,37.3,34.3,35.05,34.65,34.81,35.57,30.17,30.28,30.78,31.78,30.95,26.31,28.71,29.14,26.56,27.59,25.45,25.28,23.37,22.48,22.17,19.3,21.17,20.12,20.52,20.81,19.48,19.28,19.4,18.87,17.26,15.65
JOR,Jordan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,36.08,34.11,32.85,34.72,36.1,36.93,35.17,35.05,34.69,32.49,32.28,28.4,27.52,27.76,27.0,27.65,26.38,25.64,24.07,22.6,22.02,21.19,21.04,20.47,21.4,22.23,22.73,23.49,23.89,22.77,22.01,19.15,18.72
SVK,Slovakia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,35.3,37.98,34.96,37.01,39.03,39.63,37.71,30.29,29.78,32.55,31.91,34.24,34.96,33.17,36.81,36.78,37.73,38.17,37.35,38.04,37.78,38.23,36.59,39.21,40.66,41.81,41.95,41.94,41.36,44.04,46.67,49.2,57.28
SWE,Sweden,Climate Watch,Total including LUCF,All GHG,MtCO₂e,34.05,36.8,34.55,35.81,36.26,38.26,38.44,33.47,33.51,34.69,36.46,39.23,54.21,48.44,52.22,53.36,55.3,56.8,60.4,61.72,60.64,59.25,73.95,77.84,79.09,78.24,84.44,78.84,79.22,77.39,77.41,74.84,74.24
AFG,Afghanistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,32.89,33.0,34.31,33.21,32.87,31.67,30.82,31.23,30.83,30.16,30.69,32.2,28.71,24.44,21.47,18.34,17.39,16.76,15.69,16.07,15.38,12.73,11.82,13.59,12.67,11.83,10.84,9.79,9.34,9.29,9.16,9.51,9.24
NOR,Norway,Climate Watch,Total including LUCF,All GHG,MtCO₂e,31.5,32.11,31.8,33.2,34.45,34.95,35.11,35.78,34.98,34.98,34.28,34.64,31.85,29.63,30.56,30.08,29.73,29.39,30.38,30.07,28.02,28.5,36.04,41.62,39.61,38.33,36.61,36.52,36.65,34.76,32.34,32.17,34.82
COG,Congo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,31.25,29.0,30.1,30.81,29.59,26.74,26.28,25.56,24.87,25.38,24.52,26.61,26.32,24.23,22.96,22.37,24.93,23.16,21.18,20.51,18.99,21.16,21.8,21.68,21.07,19.69,18.92,18.75,17.98,18.99,19.41,19.05,19.05
CUB,Cuba,Climate Watch,Total including LUCF,All GHG,MtCO₂e,30.09,32.59,29.74,34.23,38.85,38.48,39.68,32.08,30.1,32.19,31.87,30.84,33.33,32.15,31.24,31.91,31.06,30.11,30.07,30.72,31.61,32.73,33.14,32.74,32.3,32.76,30.53,27.84,26.69,25.27,28.7,34.83,44.01
HND,Honduras,Climate Watch,Total including LUCF,All GHG,MtCO₂e,29.36,29.08,29.31,28.77,27.73,27.41,28.49,29.52,28.61,28.46,27.68,27.73,24.73,24.75,24.72,24.44,23.65,23.36,22.33,23.04,19.98,19.5,19.48,18.89,20.31,19.75,19.24,19.75,18.98,18.29,18.49,18.18,18.06
YEM,Yemen,Climate Watch,Total including LUCF,All GHG,MtCO₂e,28.06,28.85,28.86,29.81,28.22,24.59,23.19,29.07,54.84,58.82,49.38,55.42,63.76,63.02,60.77,62.17,63.82,64.69,62.56,63.2,60.19,60.11,58.53,53.32,49.49,47.84,45.31,44.62,43.08,32.5,29.33,29.19,27.26
BEN,Benin,Climate Watch,Total including LUCF,All GHG,MtCO₂e,26.46,25.77,27.47,27.24,26.77,25.47,25.29,23.57,23.12,22.59,21.87,21.89,21.75,21.52,20.86,21.15,20.41,20.1,18.94,18.81,18.8,17.75,23.34,23.18,23.24,22.18,21.8,20.1,20.3,20.03,19.98,19.89,19.78
TTO,Trinidad and Tobago,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.33,23.37,25.42,27.53,27.87,28.03,27.82,31.28,32.14,32.15,31.21,31.65,30.63,28.0,29.02,29.22,28.66,25.27,23.24,22.23,18.55,16.9,15.25,14.44,14.06,13.75,13.36,12.3,12.74,16.53,21.18,21.33,21.45
BIH,Bosnia and Herzegovina,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.0,24.0,24.34,24.37,26.1,26.1,25.82,21.26,21.04,23.54,23.77,25.56,26.49,26.46,26.4,24.28,23.17,21.29,20.53,19.47,18.94,18.78,22.12,18.34,18.38,15.56,10.66,9.62,9.71,20.1,23.56,30.87,33.59
PAN,Panama,Climate Watch,Total including LUCF,All GHG,MtCO₂e,23.98,23.22,21.74,25.06,21.67,21.64,22.04,21.82,21.88,21.37,21.4,20.84,19.72,18.69,16.98,17.19,17.15,16.63,15.01,15.08,14.82,15.61,15.78,15.82,16.69,15.61,15.68,15.68,15.49,15.2,14.96,14.28,13.78
LTU,Lithuania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,23.67,24.48,24.12,24.12,24.0,23.92,24.01,18.55,18.29,18.79,19.68,19.76,26.39,25.59,29.18,29.75,28.73,28.6,27.47,26.54,26.37,26.02,26.09,27.79,30.55,29.66,29.89,29.11,30.68,32.72,38.62,53.44,51.69
NAM,Namibia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,22.12,24.4,23.38,20.72,21.7,22.54,22.47,21.67,21.4,22.21,29.6,28.05,22.81,24.07,20.98,22.5,23.25,21.91,21.1,20.6,20.0,21.16,21.38,20.6,20.57,19.86,20.02,20.08,19.98,19.78,19.81,19.85,N/A
GAB,Gabon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,21.52,20.83,21.38,21.69,20.67,21.39,22.73,22.53,22.09,21.75,21.61,21.99,18.73,17.89,18.07,17.39,18.1,19.48,19.89,20.18,18.81,19.47,20.01,20.64,21.69,20.64,20.74,19.76,18.52,17.41,17.23,17.19,16.06
MWI,Malawi,Climate Watch,Total including LUCF,All GHG,MtCO₂e,21.29,20.76,20.82,20.15,19.13,17.27,17.17,16.72,16.33,15.75,15.65,15.12,15.16,13.96,14.14,13.56,13.0,13.06,12.74,12.89,12.39,12.05,11.95,11.96,11.94,11.69,11.77,11.74,11.53,11.92,11.78,11.78,11.6
BGR,Bulgaria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,19.78,18.18,12.58,17.68,19.5,22.72,20.58,45.13,42.43,39.85,45.0,50.75,33.42,31.77,39.26,41.67,37.47,37.52,37.53,38.77,33.91,36.59,36.03,36.58,43.39,46.98,50.06,49.49,48.27,52.22,53.66,59.48,76.47
GUY,Guyana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,19.71,18.64,18.72,17.83,17.49,17.36,17.24,19.95,19.85,19.62,19.47,19.22,11.52,11.25,11.22,11.08,10.77,10.96,11.32,11.04,10.76,10.85,10.11,10.43,10.45,10.3,10.02,9.76,9.06,8.76,7.96,7.97,7.89
GEO,Georgia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,19.17,17.95,17.32,17.52,16.96,17.38,17.52,17.22,16.93,16.17,15.18,14.3,9.67,9.84,9.55,10.29,9.41,8.9,8.33,8.25,7.72,8.27,-4.02,-4.43,-4.18,-3.7,-2.88,-1.38,1.7,8.83,14.36,21.85,31.29
TJK,Tajikistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,18.59,18.14,17.85,17.31,15.91,14.51,13.43,12.02,11.42,9.88,9.46,8.66,8.44,8.35,8.67,8.3,7.58,7.09,7.02,6.47,6.32,6.29,6.65,7.02,7.51,7.59,7.35,7.99,8.6,11.1,14.01,16.93,17.81
LBN,Lebanon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,18.18,24.3,29.23,34.14,34.29,35.77,33.98,32.88,30.73,28.54,28.56,25.92,25.31,26.22,22.8,18.98,20.03,20.96,21.54,20.98,20.29,20.31,18.99,20.16,19.18,18.82,16.6,15.56,13.26,12.31,8.91,8.84,7.34
HRV,Croatia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.96,17.72,17.04,17.95,17.86,18.98,18.33,21.11,20.5,21.3,22.39,24.39,25.32,25.88,28.44,29.25,27.73,27.02,27.06,27.34,26.22,25.19,24.31,25.32,24.95,25.06,24.23,24.28,22.99,22.98,22.28,21.47,27.74
GHA,Ghana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.82,17.05,16.9,12.43,10.69,9.48,6.3,60.56,58.92,59.35,57.05,55.24,69.44,67.81,66.66,66.97,66.77,65.51,63.41,64.29,63.8,62.7,28.8,29.26,30.54,26.87,25.61,24.43,23.99,23.65,23.45,22.99,22.89
EST,Estonia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.62,16.05,14.8,17.81,23.48,24.5,23.59,14.13,17.25,18.55,16.62,18.1,22.96,18.42,21.85,24.12,20.4,21.06,21.18,20.96,19.07,19.47,19.19,19.63,20.22,21.52,21.93,21.12,23.18,23.21,28.52,37.91,40.86
SVN,Slovenia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,15.51,15.9,15.63,16.87,17.31,17.44,17.26,13.47,13.38,14.88,15.51,16.12,7.28,6.99,8.96,7.99,8.02,7.68,7.43,7.23,7.26,7.18,8.38,8.58,9.23,9.49,9.03,8.23,7.4,7.35,6.61,6.89,7.9
LBR,Liberia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,15.29,15.22,15.24,15.66,14.97,15.06,15.04,16.22,15.43,15.16,15.16,15.05,14.87,15.6,14.6,14.6,14.83,14.5,14.44,14.41,14.26,14.23,14.24,14.2,14.3,14.22,14.17,14.26,14.26,14.26,14.28,14.25,14.36
SLV,El Salvador,Climate Watch,Total including LUCF,All GHG,MtCO₂e,14.26,13.55,12.4,13.73,12.88,12.49,13.35,13.42,12.97,12.74,13.51,13.34,13.47,13.72,14.08,14.61,14.1,13.59,13.18,12.81,12.22,11.98,11.33,12.21,11.99,11.87,11.01,11.06,10.79,10.18,9.7,9.28,8.49
KGZ,Kyrgyzstan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,14.24,14.15,12.89,13.66,14.85,12.72,12.9,15.87,15.53,14.9,15.41,12.79,12.09,12.38,12.73,11.64,10.43,10.31,10.62,10.47,9.84,8.87,8.44,8.52,9.9,9.67,9.79,8.89,11.58,16.72,21.52,29.07,31.35
MRT,Mauritania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.97,13.94,13.49,13.1,12.55,12.14,11.33,13.16,12.45,11.87,11.94,11.46,11.34,10.9,10.2,10.91,11.05,10.07,9.91,9.89,9.71,9.66,9.51,9.08,8.59,8.24,7.94,7.4,7.31,7.41,7.22,7.36,7.15
SUR,Suriname,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.85,13.67,13.56,13.59,13.01,13.37,13.88,12.48,12.39,11.99,12.13,11.65,7.12,6.77,6.64,6.46,6.56,6.62,6.4,6.08,5.86,6.43,6.02,6.7,6.66,6.61,6.62,6.51,6.42,6.38,6.36,6.26,5.9
MDA,Moldova,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12.51,14.08,13.18,13.65,13.47,12.93,12.94,12.18,11.95,11.32,12.15,12.45,11.73,10.82,11.5,11.63,11.41,11.75,11.44,11.46,10.86,10.72,11.19,12.04,13.4,14.87,16.54,18.33,20.37,23.46,26.89,31.82,37.87
GNQ,Equatorial Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,11.97,12.11,12.76,12.71,13.31,13.73,14.74,15.52,16.4,15.07,15.36,15.21,16.02,15.65,17.66,18.48,17.93,18.02,17.46,13.53,12.28,12.56,10.07,10.79,9.06,7.85,6.3,5.93,5.77,5.64,5.5,4.3,4.1
HTI,Haiti,Climate Watch,Total including LUCF,All GHG,MtCO₂e,11.97,11.94,11.86,12.09,12.14,11.96,11.92,11.67,11.32,10.89,10.61,10.79,9.86,9.29,9.24,9.16,8.73,8.64,8.52,8.64,8.59,8.31,8.13,7.62,7.47,7.32,6.88,6.58,5.78,6.28,6.63,6.21,5.97
BRN,Brunei,Climate Watch,Total including LUCF,All GHG,MtCO₂e,11.7,12.32,12.32,9.9,10.1,9.8,9.37,8.71,9.5,9.55,9.77,9.83,10.5,11.21,11.45,10.56,11.09,8.38,8.53,9.07,7.92,7.92,7.99,7.55,11.82,8.46,7.84,7.71,7.34,7.04,6.59,6.28,6.06
LVA,Latvia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,11.07,11.72,11.55,12.19,12.34,11.79,11.85,12.15,12.1,12.2,12.28,12.46,1.94,0.75,1.52,1.81,1.35,0.78,0.58,0.55,0.25,0.2,0.88,1.41,1.95,2.34,2.89,2.89,4.46,7.43,10.6,13.3,15.03
ARM,Armenia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.89,10.64,10.09,9.52,9.49,9.29,9.45,9.08,9.05,9.06,9.12,8.13,7.69,7.87,9.01,8.49,7.84,7.44,6.71,6.32,5.9,6.22,6.12,5.74,6.27,6.31,5.61,6.7,6.13,8.65,14.81,25.11,24.5
TGO,Togo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.87,10.2,10.02,9.23,8.84,8.39,8.74,8.27,7.48,7.97,8.03,8.42,7.91,8.09,6.57,6.23,6.54,7.06,6.18,6.4,5.74,5.31,7.45,7.94,7.49,6.52,6.76,6.13,6.16,5.89,6.01,6.31,6.47
MKD,North Macedonia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.45,9.71,9.75,10.9,10.01,10.53,10.03,10.15,10.42,10.79,11.71,12.14,11.25,11.37,12.06,12.27,11.77,11.77,11.48,11.68,10.91,11.51,11.5,11.83,12.76,12.01,13.17,11.6,11.99,12.45,12.44,13.23,13.9
SLE,Sierra Leone,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.2,10.44,9.39,9.26,10.29,9.78,9.83,9.91,9.82,9.44,9.28,8.42,7.95,7.9,7.62,7.82,8.6,7.48,7.36,7.09,6.5,6.08,5.89,5.9,6.16,6.07,6.06,6.36,6.5,6.54,6.47,6.48,6.49
RWA,Rwanda,Climate Watch,Total including LUCF,All GHG,MtCO₂e,9.55,9.19,9.07,8.89,8.71,8.48,8.26,8.44,7.75,7.76,7.55,7.36,8.33,8.03,7.87,7.63,7.47,7.16,7.29,7.19,7.09,6.87,6.93,7.7,7.41,7.5,6.73,6.42,5.54,5.84,5.92,5.99,6.01
JAM,Jamaica,Climate Watch,Total including LUCF,All GHG,MtCO₂e,9.29,8.22,7.61,10.18,10.39,8.97,9.27,8.84,8.93,9.13,8.68,9.19,6.47,6.85,8.6,11.0,11.08,9.85,9.9,9.99,9.58,9.4,12.26,12.13,11.82,11.26,11.12,10.78,10.44,10.4,10.21,9.39,9.41
CRI,Costa Rica,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.66,8.31,7.08,8.39,8.41,8.11,7.82,6.99,7.04,7.09,6.59,6.59,12.73,12.58,13.01,12.88,11.48,11.11,10.6,10.6,10.23,10.23,12.83,12.98,13.19,12.47,12.42,12.45,12.86,12.45,12.36,11.22,10.92
CYP,Cyprus,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.02,8.0,7.88,8.3,8.31,8.49,8.35,7.9,7.82,7.42,8.13,8.64,8.94,9.27,9.45,9.23,8.9,8.76,8.65,8.71,8.03,7.8,8.08,7.82,7.54,7.21,7.13,6.74,6.85,6.6,6.33,5.9,5.37
BDI,Burundi,Climate Watch,Total including LUCF,All GHG,MtCO₂e,7.84,7.64,7.19,7.25,7.6,7.38,6.76,1.43,1.42,1.45,1.03,0.95,5.67,5.38,5.22,5.08,5.01,4.85,4.78,4.73,4.75,4.76,6.88,6.83,6.73,6.69,6.62,6.58,6.42,6.52,6.54,6.54,6.49
ALB,Albania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,7.79,8.55,8.35,8.95,9.43,9.68,8.95,8.56,8.89,8.45,8.22,8.78,8.12,7.68,7.61,7.88,7.8,7.89,8.12,8.05,7.64,7.0,8.42,8.03,6.82,6.59,7.32,7.59,7.75,6.94,6.97,9.01,11.37
LUX,Luxembourg,Climate Watch,Total including LUCF,All GHG,MtCO₂e,7.75,8.89,8.54,10.21,10.03,9.74,9.56,9.89,10.4,10.92,11.43,11.66,11.52,10.93,11.52,11.6,12.18,12.39,12.15,10.7,10.28,9.49,8.89,8.26,7.87,8.54,9.04,8.96,11.1,11.95,11.74,12.04,11.55
ERI,Eritrea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,7.05,6.96,6.89,6.85,6.78,6.65,6.59,6.44,6.43,6.38,6.36,6.29,6.05,6.11,6.06,6.11,5.81,6.0,6.01,6.05,5.91,5.95,6.22,6.1,5.92,6.08,5.58,5.02,4.89,4.7,5.13,4.13,4.11
MUS,Mauritius,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.81,6.71,6.41,6.82,6.72,6.7,6.51,6.38,6.34,6.13,6.0,5.84,5.88,5.6,5.61,5.5,5.36,4.93,4.74,4.71,4.52,4.5,4.29,3.85,3.32,3.05,2.94,2.77,2.71,2.64,2.48,2.39,2.3
BLZ,Belize,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.73,6.77,6.87,6.89,6.68,6.74,6.69,6.95,6.71,6.85,6.62,7.18,4.5,4.42,4.29,4.36,4.13,4.13,3.96,4.42,4.12,4.03,7.3,8.28,9.42,10.41,11.41,12.57,13.66,13.54,13.42,13.33,13.11
